woi_OrderItemId,woi_OrderId,woi_WebIdEn,woi_SKU,woi_Name,woi_Quantity,woi_ItemTotal
200,62876,53267,7290018843024,Tel Shifon Syrah,1,101.69
201,62876,59008,87752011546,Psagot Chardonnay,1,63.56
202,62876,52588,7290015951463,Yarden 2T,1,101.69
203,62876,124,7290010888153,Ramat Negev Kadesh Barnea Blend,1,50
204,62876,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
205,62876,7793,7290005966422,Yarden Chardonnay,1,63.56
206,62879,57088,7290010517909,Flam White Label,1,139.83
207,62879,62786,7290103681890,Tabor Artisanal Sauvignon Blanc,1,55.08
208,62879,58874,7290019697138,Flam Camellia,1,139.83
209,62879,61852,7290103681326,Tabor Adama Gewurztraminer,1,50
210,62879,62791,7290103681937,Tabor Artisanal Chenin Blanc,1,55.08
211,62884,17,321654876546,Backoushe Semillon The Tailor,1,101.69
212,62911,1863,7290016693928,Hayotzer Legato Barbera,1,50
213,62911,54140,7290101582366,Binyamina Moshava Cabernet Sauvignon,1,33.05
214,62911,53271,7290017323695,Jerusalem Wineries Vintage Malbec Shiraz,1,33.05
215,62911,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,1,50
216,62911,54050,7290108620078,Zion Winery Estate Merlot,1,33.05
217,62911,62779,7290008921855,Tishbi Vineyards Cabernet Franc,1,50
218,62911,9323,7290006744876,Mony Nahal Petite Sirah,1,50
219,62911,12363,7290018795057,Ouriel Merlot,1,75.42
220,62914,55090,7290015951616,Gamla Sangiovese,1,53.39
221,62914,56457,7290019289050,Telem Red,1,76.27
222,62914,54146,7290019735007,Nevo Winery Summer,1,88.98
223,62914,58230,7290018940273,Hayotzer Danza Swing,1,50
224,62914,51,7290010173037,Galil Mountain Bar Rose,1,33.05
225,62914,61852,7290103681326,Tabor Adama Gewurztraminer,1,50
226,62915,54140,7290101582366,Binyamina Moshava Cabernet Sauvignon,12,396.61
227,62915,60868,99001001,Pulltex Button Lever Corkscrew,1,0
228,62917,3875,321654876547,Backoushe The Carpenter,5,550.85
229,62926,131,7290010888276,Ramat Negev The Southern Port,1,109.32
230,62926,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,1,50
231,62926,7874,7290010173068,Galil Mountain Bar Cabernet Sauvignon,2,64.41
232,62927,131,7290010888276,Ramat Negev The Southern Port,1,109.32
233,62927,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,1,50
234,62927,7874,7290010173068,Galil Mountain Bar Cabernet Sauvignon,2,64.41
235,62930,57954,750238989812,Kuzari Syrah,2,254.24
236,62930,141,693493176170,Shiran The Trio,1,109.32
237,62930,119,7290018795071,Ouriel Blend,1,75.42
238,62930,60868,99001001,Pulltex Button Lever Corkscrew,1,0
239,62931,8881,8430664000085,Memorias Finca Zerezal Bobal Reserva,2,305.08
240,62931,60868,99001001,Pulltex Button Lever Corkscrew,1,0
241,62932,8881,8430664000085,Memorias Finca Zerezal Bobal Reserva,2,305.08
242,62939,57954,750238989812,Kuzari Syrah,1,127.12
243,62941,62159,7290019462682,Chateau Remo Chardonnay,3,254.24
244,62941,58784,7290018414262,Gvaot Gofna Hamdani Jandali,1,97.46
245,62941,1483,7290006505309,Kishor Dry Riesling,2,161.02
246,62941,71,7290011253127,Gush Etzion Spring River GSM,2,144.07
247,62941,21,7290101582403,Binyamina Moshava Shiraz,2,66.1
248,62941,4449,7290011240554,1848 5th Generation Cabernet Franc,2,161.02
249,62942,8902,7290108620023,Zion Winery Capital Cabernet Sauvignon,1,49.15
250,62942,124,7290010888153,Ramat Negev Kadesh Barnea Blend,1,50
251,62942,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,1,50
252,62942,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
253,62942,58789,7290017647722,Gamla Blanco,1,50.85
254,62942,62766,7290014440432,Midbar 22 Rosé,1,33.05
255,62942,79,7290018414217,Gvaot Nave,1,65.42
256,62943,61852,7290103681326,Tabor Adama Gewurztraminer,3,150
257,62943,21,7290101582403,Binyamina Moshava Shiraz,2,66.1
258,62943,8121,7290013910448,La Foret Blanche Talpiot Dry Red,1,66.95
259,62943,58184,7290014440104,Midbar 22 Chardonnay,1,33.9
260,62943,8886,7290006744500,Mony M Colombard,1,33.05
261,62946,21,7290101582403,Binyamina Moshava Shiraz,3,99.15
262,62946,71,7290011253127,Gush Etzion Spring River GSM,2,144.07
263,62946,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
264,62946,1467,7290006505224,Kishor Red Blend,2,144.07
265,62946,7774,7290017289779,Teperberg Inspire Malbec Marselan,3,177.97
266,62946,8902,7290108620023,Zion Winery Capital Cabernet Sauvignon,1,49.15
267,62946,54140,7290101582366,Binyamina Moshava Cabernet Sauvignon,3,99.15
268,62946,59028,859372006062,Sadot TPS,2,167.8
269,62946,1873,7290101582397,Binyamina Moshava Merlot,1,33.05
270,62953,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
271,62953,58831,7290006744852,Mony M Shiraz,1,33.05
272,62953,9164,7290015781107,Teperberg Impression Sangiovese,2,76.27
273,62953,62779,7290008921855,Tishbi Vineyards Cabernet Franc,1,50
274,62954,,7290103681722,Tabor Judaica Vineyard Cabernet Sauvignon,1,93.22
275,62954,62147,7290010287574,Shorr Sha'ar HaGai Cabernet Sauvignon,1,84.75
276,62954,62791,7290103681937,Tabor Artisanal Chenin Blanc,1,55.08
277,62954,29,7290019462798,Chateau Remo Hosen Blend,1,84.75
278,62954,57954,750238989812,Kuzari Syrah,1,127.12
279,62954,94,7290019220602,Lahat White Blend,1,101.69
280,62954,7887,7290015279741,Jezreel Carignan,1,101.69
281,62954,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
282,62969,57922,7290004528690,Adir Kerem Ben Zimra Shiraz,1,75.42
283,62969,7986,7290008497817,Agur Kessem,1,78.81
284,62969,58862,7290008497893,Agur Layam Red,1,101.69
285,62969,39,7290017309361,Eviatar Vineyard GSM,1,76.27
286,62969,9210,7290017324487,Jerusalem Wineries Windmill Cabernet Sauvignon,1,84.75
287,62969,7318,7290019488446,Odem Mountain Volcanic Gamay Noir Cabernet Sauvignon,2,133.9
288,62969,7781,87752025413,Ramon Cardova Rioja Old Vines Reserva,1,101.69
289,62969,52588,7290015951463,Yarden 2T,2,203.39
290,62970,61836,7290016607420,Dalton Vermouth,1,127.12
291,64806,119,7290018795071,Ouriel Blend,3,226.27
292,64806,4449,7290011240554,1848 5th Generation Cabernet Franc,2,161.02
293,64806,1727,7290006505200,Kishor Metzudat Tefen,3,368.64
294,64806,9201,844510012203,Hevron Heights Isaac's Ram Cabernet Sauvignon,2,184.75
295,64806,52588,7290015951463,Yarden 2T,2,203.39
296,64806,141,693493176170,Shiran The Trio,2,218.64
297,64806,7928,693493176187,Shiran The Soprano,1,109.32
298,64806,62147,7290010287574,Shorr Sha'ar HaGai Cabernet Sauvignon,2,169.49
299,64806,71,7290011253127,Gush Etzion Spring River GSM,1,72.03
300,64806,60868,99001001,Pulltex Button Lever Corkscrew,1,0
301,64807,9231,7290006744913,Mony Nahal Caladoc Rose,1,50
302,64807,29,7290019462798,Chateau Remo Hosen Blend,1,84.75
303,64807,8902,7290108620023,Zion Winery Capital Cabernet Sauvignon,3,147.46
304,64808,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,4,200
305,64808,8898,7290019158431,Tura Mountain Vista Rose,4,305.08
306,64809,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,3,150
307,64809,8898,7290019158431,Tura Mountain Vista Rose,3,228.81
308,64809,7838,7290011240516,1848 2nd Generation Cabernet Sauvignon,3,190.68
309,64810,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
310,64810,51,7290010173037,Galil Mountain Bar Rose,1,33.05
311,64810,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
312,64810,60868,99001001,Pulltex Button Lever Corkscrew,1,0
313,64811,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
314,64811,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
315,64811,51,7290010173037,Galil Mountain Bar Rose,1,33.05
316,64811,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
317,64811,62766,7290014440432,Midbar 22 Rosé,1,33.05
318,64811,58831,7290006744852,Mony M Shiraz,1,33.05
319,64811,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
320,64811,62779,7290008921855,Tishbi Vineyards Cabernet Franc,1,50
321,64811,62863,7290008921800,Tishbi Vineyards Cabernet Merlot,1,50
322,64812,59008,87752011546,Psagot Chardonnay,1,63.56
323,64812,9231,7290006744913,Mony Nahal Caladoc Rose,1,50
324,64812,58810,7290010608041,Yaffo Sauvage White,1,66.95
325,64812,57219,7290005491351,Tishbi Cabernet Onion Spread,1,21.19
326,64812,61701,7290003245369,Negohot White Honey,1,38.14
327,64813,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
328,64813,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
329,64813,51,7290010173037,Galil Mountain Bar Rose,1,33.05
330,64813,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
331,64813,62766,7290014440432,Midbar 22 Rosé,1,33.05
332,64813,58831,7290006744852,Mony M Shiraz,1,33.05
333,64813,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
334,64813,62779,7290008921855,Tishbi Vineyards Cabernet Franc,1,50
335,64813,62863,7290008921800,Tishbi Vineyards Cabernet Merlot,1,50
336,64814,59008,87752011546,Psagot Chardonnay,1,63.56
337,64814,9231,7290006744913,Mony Nahal Caladoc Rose,1,50
338,64814,58810,7290010608041,Yaffo Sauvage White,1,66.95
339,64814,57219,7290005491351,Tishbi Cabernet Onion Spread,1,21.19
340,64814,61701,7290003245369,Negohot White Honey,1,38.14
341,64814,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
342,64814,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
343,64814,51,7290010173037,Galil Mountain Bar Rose,1,33.05
344,64814,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
345,64814,62766,7290014440432,Midbar 22 Rosé,1,33.05
346,64814,58831,7290006744852,Mony M Shiraz,1,33.05
347,64814,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
348,64814,62779,7290008921855,Tishbi Vineyards Cabernet Franc,1,50
349,64814,62863,7290008921800,Tishbi Vineyards Cabernet Merlot,1,50
350,64815,8006,7290019369530,Castel 'C' Blanc du Castel,1,127.12
351,64815,3482,7290015838757,Five Stones Nobility White,1,127.12
352,64815,61595,7290019273080,Rimon The North Lake Copper Dessert Wine,1,152.54
353,64816,62947,7290015634182,Ella Valley Zimrat Hakerem Red,2,100
354,64816,21,7290101582403,Binyamina Moshava Shiraz,2,66.1
355,64816,62947,7290015634182,Ella Valley Zimrat Hakerem Red,2,100
356,64816,51,7290010173037,Galil Mountain Bar Rose,2,66.1
357,64816,55150,87752033968,La Maison Bleue Sauvignon Blanc,2,81.36
358,64816,62766,7290014440432,Midbar 22 Rosé,2,66.1
359,64816,58831,7290006744852,Mony M Shiraz,2,66.1
360,64816,62863,7290008921800,Tishbi Vineyards Cabernet Merlot,2,100
361,64816,60868,99001001,Pulltex Button Lever Corkscrew,1,0
362,64817,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
363,64817,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
364,64818,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
365,64818,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
366,64818,60868,99001001,Pulltex Button Lever Corkscrew,1,0
367,64819,61852,7290103681326,Tabor Adama Gewurztraminer,1,50
368,64819,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
369,64819,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
370,64819,51,7290010173037,Galil Mountain Bar Rose,1,33.05
371,64819,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
372,64819,62766,7290014440432,Midbar 22 Rosé,1,33.05
373,64819,58831,7290006744852,Mony M Shiraz,1,33.05
374,64819,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
375,64819,62779,7290008921855,Tishbi Vineyards Cabernet Franc,1,50
376,64820,61440,7290017323237,Jerusalem Wineries Windmill Cabernet Sauvignon Magnum,1,254.24
377,64821,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,2,100
378,64821,1854,7290010587469,Tulip Cabernet Sauvignon,1,63.56
379,64821,7318,7290019488446,Odem Mountain Volcanic Gamay Noir Cabernet Sauvignon,1,66.95
380,64821,7838,7290011240516,1848 2nd Generation Cabernet Sauvignon,1,63.56
381,64821,54140,7290101582366,Binyamina Moshava Cabernet Sauvignon,1,33.05
382,64821,57084,7290006744814,Mony Estate Reserve Cabernet Sauvignon,1,75.42
383,64821,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
384,64822,57954,750238989812,Kuzari Syrah,1,127.12
385,64823,61785,7290018832486,Meshek Achiya Artichoke Truffle Spread,1,16.95
386,64823,62947,7290015634182,Ella Valley Zimrat Hakerem Red,1,50
387,64823,57365,7290010173853,Galil Mountain Or Barbera,1,67.8
388,64823,57219,7290005491351,Tishbi Cabernet Onion Spread,1,21.19
389,64823,8139,7290006744302,Mony M White Muscat,1,33.05
390,64823,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
391,64823,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
392,64824,62175,7290008921640,Tishbi Pet Nat,1,63.56
393,64824,59146,5432154321,Penina's Wine Upstream Chardonnay,1,75.42
