Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"value 2023-02","Big Bargain Wines to Explore","JLM Wines","Feb 24, 2023 01:27 pm",Friday,183,181,1,1,2,0,0,99,54.70%,180,10,5.52%,18,0,0,0,0,e5fc1af037,0,0,0,0.00%,$0.48,$0.00,13,9,1.7692307692308,61.54%,01:03,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-03","Purim wines 👓 in disguise!","JLM Wines","Mar 01, 2023 01:04 pm",Wednesday,184,183,1,0,1,0,0,93,50.82%,158,35,19.13%,46,1,0,0,0,f6fa41e293,1,357.22,305.32,0.00%,$0.48,$0.00,37,17,2.6486486486486,62.16%,01:38,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-03/4","Pesach Wines? 🏆 Beseder!","JLM Wines","Mar 18, 2023 09:06 pm",Saturday,191,191,0,0,0,0,0,108,56.54%,194,35,18.32%,63,0,0,0,0,e15d054f09,2,403.06,344.5,0.00%,$0.50,$0.00,69,28,3.2898550724638,42.03%,02:22,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value explore 2023-04","Special Value Wines & Exploring Minerality","JLM Wines","Apr 19, 2023 12:19 pm",Wednesday,204,204,0,0,0,0,0,109,53.43%,246,22,10.78%,43,1,0,0,0,4eb88ddf70,4,937.56,801.33,0.00%,$0.53,$0.00,66,13,3.0909090909091,46.97%,02:26,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-05","5 Shavuot 🧀 Wines","JLM Wines","May 16, 2023 02:29 pm",Tuesday,207,207,0,0,0,0,0,115,55.56%,191,39,18.84%,63,0,0,0,0,7ee68cd966,1,112.31,88.97,0.00%,$0.54,$0.00,48,25,2.2916666666667,68.75%,00:59,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value explore 2023-05","Bargain Barbera & Orange Wines","JLM Wines","May 21, 2023 06:57 pm",Sunday,209,209,0,0,0,0,0,112,53.59%,184,26,12.44%,52,1,0,0,0,c32b505239,3,393.89,336.66,0.00%,$0.54,$0.00,39,18,3.6410256410256,53.85%,01:56,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-06","Surprising Summer Reds 😎","JLM Wines","Jun 08, 2023 07:31 pm",Thursday,217,215,0,2,2,0,0,103,47.91%,185,31,14.42%,53,1,0,0,0,7d5d3a7e4c,1,164.99,140.5,0.00%,$0.56,$0.00,56,21,3.9464285714286,51.79%,02:37,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value 2023-06","Best Bargain Wines","JLM Wines","Jun 17, 2023 09:54 pm",Saturday,216,215,1,0,1,0,0,112,52.09%,212,30,13.95%,55,4,0,0,0,2d7d0527e1,3,306.39,254.66,0.00%,$0.56,$0.00,40,21,3.35,50.00%,03:37,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-07","Is Jandali a summer wine?","JLM Wines","Jun 29, 2023 07:52 pm",Thursday,213,213,0,0,0,0,0,105,49.30%,179,23,10.80%,53,0,0,0,0,f8c120a01a,2,294.79,251.96,0.00%,$0.55,$0.00,48,16,2.1666666666667,64.58%,00:50,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value 2023-07","Marvelous Marselan Value","JLM Wines","Jul 11, 2023 01:33 pm",Tuesday,217,217,0,0,0,0,0,114,52.53%,183,21,9.68%,34,0,0,0,0,7ff97bedf1,4,503.76,423.42,0.00%,$0.56,$0.00,20,16,4.95,60.00%,02:09,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value 2023-08","Value Wines Update","JLM Wines","Aug 08, 2023 02:33 pm",Tuesday,225,225,0,0,0,0,0,131,58.22%,216,18,8.00%,32,2,0,0,0,878fe1d4aa,0,0,0,0.00%,$0.59,$0.00,16,10,4.6875,31.25%,02:15,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-08","Why is Pinot Noir Popular?","JLM Wines","Aug 24, 2023 06:18 pm",Thursday,231,230,1,0,1,0,0,126,54.78%,213,28,12.17%,54,1,0,0,0,46c8980651,2,645.45,551.66,0.00%,$0.60,$0.00,34,15,4.4117647058824,50.00%,02:52,0.00%,$0.00,0,0.00%,$0.00,$0.00
"seasonal 2023-09","New Rosh HaShana Wine Options","JLM Wines","Sep 05, 2023 03:57 pm",Tuesday,237,237,0,0,0,0,0,138,58.23%,273,37,15.61%,68,0,0,0,0,d4c5d231f5,7,2231.85,1907.58,0.00%,$0.62,$0.00,44,23,6.0909090909091,47.73%,04:40,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value 2023-09 eh","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Sep 20, 2023 12:25 pm",Wednesday,241,240,1,0,1,0,0,126,52.50%,411,18,7.50%,38,2,0,0,0,689d450e14,5,972.09,817.47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2023-11 eh","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Nov 01, 2023 04:31 pm",Wednesday,246,246,0,0,0,0,0,127,51.63%,236,25,10.16%,32,0,0,0,0,3025a46296,5,676.3,571.51,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2023-11 eh","Fall Wine Debut 🍂 יינות הסתיו","JLM Wines","Nov 14, 2023 05:05 pm",Tuesday,249,249,0,0,0,0,0,130,52.21%,244,31,12.45%,54,0,0,0,0,ddc0aa5c89,7,714.98,590.59,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2023-12 eh","Chanukah Wines & Gifts 🍩 יינות ומתנות לחנוכה","JLM Wines","Nov 28, 2023 08:41 pm",Tuesday,261,260,1,0,1,0,0,141,54.23%,280,24,9.23%,36,2,0,0,0,fb36943bb3,1,409.65,350.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2023-12 eh","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Dec 04, 2023 10:10 pm",Monday,264,264,0,0,0,0,0,145,54.92%,260,33,12.50%,49,0,0,0,0,7610b7aaaa,6,818.05,697.66,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-01","Winter Red Wines 🌨️ יינות אדומים לחורף","JLM Wines","Jan 02, 2024 12:19 pm",Tuesday,283,282,1,0,1,0,0,156,55.32%,315,44,15.60%,60,1,0,0,0,7f0f48ffbd,4,732.27,625.87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-01","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Jan 17, 2024 11:56 am",Wednesday,287,286,1,0,1,0,0,159,55.59%,259,32,11.19%,45,2,0,0,0,882921a457,2,236.07,201.77,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-01","Wines of the Golan ⛰️ יינות רמת הגולן","JLM Wines","Jan 24, 2024 02:44 pm",Wednesday,285,284,1,0,1,0,0,167,58.80%,276,50,17.61%,79,1,0,0,0,81434b0dcc,4,396.11,338.56,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-02","More Winter Reds ☂️ עוד אדומים לחורף","JLM Wines","Feb 06, 2024 02:19 pm",Tuesday,288,287,1,0,1,0,0,162,56.45%,260,51,17.77%,61,2,1,0,0,2386d6a267,2,298.9,255.48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-02","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Feb 14, 2024 03:27 pm",Wednesday,288,287,0,1,1,0,0,169,58.89%,273,43,14.98%,63,2,0,0,0,930709b7d1,2,314.85,269.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-02","Negev WInes 🏝️ יינות הנגב","JLM Wines","Feb 20, 2024 12:51 pm",Tuesday,286,286,0,0,0,0,0,156,54.55%,249,44,15.38%,68,0,0,0,0,c52ef71efd,3,489.19,418.11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-03","New Seasonal Wines  🌤️  יינות חדשים לעונה","JLM Wines","Feb 27, 2024 01:54 pm",Tuesday,291,291,0,0,0,0,0,165,56.70%,258,40,13.75%,63,1,0,0,0,0aaeb04fa3,1,398.83,340.88,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-03","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Mar 05, 2024 12:26 pm",Tuesday,297,296,0,1,1,0,0,158,53.38%,256,45,15.20%,68,0,0,0,0,2270d5e0cc,5,770.23,651.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-03","Shomr Wines  🐪  יינות השומרון","JLM Wines","Mar 12, 2024 12:45 pm",Tuesday,309,309,0,0,0,0,0,179,57.93%,284,44,14.24%,51,2,0,0,0,f7d150a0c8,3,1162.05,993.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"combined 2024-04","Pesach Wines - יינות פסח","JLM Wines","Apr 09, 2024 11:45 am",Tuesday,354,353,1,0,1,0,0,224,63.46%,369,83,23.51%,137,0,0,0,0,c1844f6c65,9,1460.85,1248.59,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-05","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","May 21, 2024 12:15 pm",Tuesday,391,388,1,2,3,0,0,218,56.19%,324,63,16.24%,97,0,0,0,0,4089e51652,6,809.99,692.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-06","Shavuot Wines 🌻 יינות חג שבועות","JLM Wines","Jun 02, 2024 11:15 am",Sunday,392,392,0,0,0,0,0,210,53.57%,342,54,13.78%,90,4,0,0,0,6d03cc9b1f,4,500.96,428.17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-06","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Jun 18, 2024 03:45 pm",Tuesday,397,397,0,0,0,0,0,222,55.92%,359,71,17.88%,103,0,0,0,0,26d24e8f3a,8,920.01,779.55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-06","Dry Riesling ? ריזלינג יבש","JLM Wines","Jun 25, 2024 04:15 pm",Tuesday,400,399,0,1,1,0,0,217,54.39%,338,46,11.53%,51,2,0,0,0,53b744b153,1,134.54,114.99,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-07","About Acidity 🍋 על חומציות","JLM Wines","Jul 09, 2024 07:28 pm",Tuesday,397,396,1,0,1,0,0,231,58.33%,380,46,11.62%,71,1,0,0,0,c9b3d455fe,1,337.12,288.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-07","Special Value Wines - יינות בעלי ערך מיוחד","JLM Wines","Jul 16, 2024 04:14 pm",Tuesday,397,396,1,0,1,0,0,217,54.80%,331,64,16.16%,100,1,0,0,0,d832f1db8f,8,1462.27,1242.73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-08 he","יינות זוכי פרסים🏅","JLM Wines","Aug 19, 2024 04:30 pm",Monday,157,156,1,0,1,0,0,119,76.28%,203,38,24.36%,61,0,0,0,0,d332678e65,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2024-08 en","Award-Winning Wines🏅","JLM Wines","Aug 19, 2024 04:45 pm",Monday,303,303,0,0,0,0,0,156,51.49%,266,56,18.48%,96,0,0,0,0,14b5323011,4,753.69,644.18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-09 EN","Rosh Hashana Wines 🍎","JLM Wines","Sep 17, 2024 04:30 pm",Tuesday,265,265,0,0,0,0,0,166,62.64%,323,60,22.64%,96,0,0,0,0,105e1ce431,13,2204.01,1876.96,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-09 HE","🍎 יינות ראש השנה","JLM Wines","Sep 17, 2024 05:30 pm",Tuesday,133,132,1,0,1,0,0,88,66.67%,139,37,28.03%,47,0,0,0,0,eb147d6410,1,37.11,24.87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-09 EN","Special Value Wines","JLM Wines","Sep 24, 2024 04:15 pm",Tuesday,270,270,0,0,0,0,0,153,56.67%,259,42,15.56%,70,0,0,0,0,94bbd7fc24,8,1229.64,1050.97,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-09 HE","יינות בעלי ערך מיוחד","JLM Wines","Sep 24, 2024 05:15 pm",Tuesday,137,136,1,0,1,0,0,89,65.44%,134,26,19.12%,34,0,0,0,0,9061af76e3,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"order now 2024-10 HE","הזדמנות אחרונה להזמין","JLM Wines","Oct 08, 2024 11:15 am",Tuesday,141,140,1,0,1,0,0,75,53.57%,115,30,21.43%,50,0,0,0,0,6e5f096ede,2,217.19,185.64,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"order now 2024-10 EN","Last day to order!","JLM Wines","Oct 08, 2024 11:45 am",Tuesday,273,271,1,1,2,0,0,145,53.51%,247,42,15.50%,102,1,0,0,0,e06d460abd,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-11 HE","אדומים טובים בפחות מ-60 ₪","JLM Wines","Nov 12, 2024 06:15 pm",Tuesday,146,145,0,1,1,0,0,95,65.52%,176,48,33.10%,69,0,0,0,0,6d35daaa3d,1,50.95,36.53,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-11 EN","10 winning reds under ₪60","JLM Wines","Nov 12, 2024 06:45 pm",Tuesday,280,280,0,0,0,0,0,151,53.93%,288,60,21.43%,105,0,0,0,0,4d11d13acd,9,1766.51,1509.85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-11 HE","אדומים מעניינים לעונה","JLM Wines","Nov 26, 2024 06:15 pm",Tuesday,150,150,0,0,0,0,0,87,58.00%,136,34,22.67%,45,0,0,0,0,7cbdb46d5f,1,137.04,117.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-11 EN","interesting reds for the season","JLM Wines","Nov 26, 2024 06:45 pm",Tuesday,285,284,1,0,1,0,0,146,51.41%,250,50,17.61%,75,1,0,0,0,697316b5c2,2,653.37,558.45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-12 EN","NEW Special Value Wines","JLM Wines","Dec 03, 2024 04:15 pm",Tuesday,287,286,1,0,1,0,0,155,54.20%,272,57,19.93%,94,1,0,0,0,31d1e86697,5,566.4,484.11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2024-12 HE","יינות חדשים עם תמורה מיוחדת למחיר","JLM Wines","Dec 03, 2024 04:15 pm",Tuesday,157,155,0,2,2,0,0,100,64.52%,153,28,18.06%,38,2,0,0,0,5ec5ef5291,1,110.07,94.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-12 HE","יינות חנוכה","JLM Wines","Dec 17, 2024 04:15 pm",Tuesday,159,158,1,0,1,0,0,95,60.13%,140,34,21.52%,55,0,0,0,0,81cba594a3,2,163.66,132.75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2024-12 EN","Hanukkah wines","JLM Wines","Dec 17, 2024 04:45 pm",Tuesday,291,288,3,0,3,0,0,187,64.93%,325,55,19.10%,99,1,0,0,0,20f85c5391,6,848.49,723.18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2025-01 he","גלו איתנו מורכבות ביין","JLM Wines","Jan 07, 2025 05:15 pm",Tuesday,172,169,3,0,3,0,0,97,57.40%,152,26,15.38%,40,2,0,0,0,d979932461,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2025-01 en","wine complexity explained","JLM Wines","Jan 07, 2025 05:45 pm",Tuesday,319,312,5,2,7,0,0,183,58.65%,338,55,17.63%,111,1,0,0,0,35594ec8ab,2,300.53,254.69,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-01 HE","יינות חדשים עם תמורה מיוחדת למחיר","JLM Wines","Jan 21, 2025 06:15 pm",Tuesday,177,173,4,0,4,0,0,105,60.69%,165,52,30.06%,81,4,0,0,0,341f1747ac,1,250.64,212.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-01 EN","NEW Special Value Wines","JLM Wines","Jan 21, 2025 06:45 pm",Tuesday,319,316,3,0,3,0,0,175,55.38%,284,58,18.35%,94,2,0,0,0,d62a74f17b,8,1156.94,980.45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2025-02 HE","גלו את המושג עוצמת טעמים","JLM Wines","Feb 04, 2025 07:45 pm",Tuesday,177,176,1,0,1,0,0,88,50.00%,139,30,17.05%,54,0,0,0,0,e675631121,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2025-02 en","explore red wine intensity","JLM Wines","Feb 04, 2025 08:45 pm",Tuesday,319,316,3,0,3,0,0,158,50.00%,282,56,17.72%,86,2,0,0,0,e403daf803,3,468.15,389.61,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-02 HE","יינות חדשים עם תמורה מיוחדת למחיר","JLM Wines","Feb 18, 2025 07:45 pm",Tuesday,183,182,1,0,1,0,0,99,54.40%,163,50,27.47%,73,4,0,0,0,25bb945183,1,112.42,95.27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-02 EN","NEW Special Value Wines","JLM Wines","Feb 18, 2025 08:45 pm",Tuesday,320,316,3,1,4,0,0,171,54.11%,310,74,23.42%,106,0,0,0,0,b94cec424e,11,1760.64,1477.94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"purim 2025-03-HE","יינות פורים מושלמים","JLM Wines","Mar 04, 2025 07:45 pm",Tuesday,191,186,4,1,5,0,0,115,61.83%,187,40,21.51%,65,3,1,0,0,dbef9f8e19,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"purim 2025-03-EN","Perfect Purim Wines","JLM Wines","Mar 04, 2025 08:45 pm",Tuesday,323,320,2,1,3,0,0,173,54.06%,304,63,19.69%,98,0,0,0,0,d1b4a7e1f2,3,441.62,374.26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"pesach 2025-03-HE","הנחה על יינות לחג פסח","JLM Wines","Mar 25, 2025 07:45 pm",Tuesday,198,195,2,1,3,0,0,113,57.95%,182,28,14.36%,42,0,0,0,0,708deef31a,1,37.29,31.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"pesach 2025-03-EN","Save on Pesach Wines","JLM Wines","Mar 25, 2025 08:45 pm",Tuesday,328,327,0,1,1,0,0,172,52.60%,278,54,16.51%,85,0,0,0,0,495b192a39,9,2118.13,1795.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"pesach 2025-03-EN 2","5% Off Ends at Midnight","JLM Wines","Mar 31, 2025 12:45 pm",Monday,327,327,0,0,0,0,0,147,44.95%,226,21,6.42%,38,0,0,0,0,3377c25dd2,3,567.63,481.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"pesach 2025-03-HE 2","5% הנחה עד חצות הלילה","JLM Wines","Mar 31, 2025 01:45 pm",Monday,199,197,2,0,2,0,0,82,41.62%,121,13,6.60%,19,0,0,0,0,09d943722c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-04 EN","NEW Special Value Wines","JLM Wines","Apr 22, 2025 08:40 pm",Tuesday,334,331,3,0,3,0,0,175,52.87%,295,66,19.94%,100,2,0,0,0,8740302c01,5,1217.35,1022.29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
